,Abadia do dourados,Arapuá,Araxá,Campos Altos,Carmo do paranaíba,Cascalho Rico,Coromandel,Cruzeiro da Fortaleza,Douradoquara,Estrela do Sul,Grupiara,Guimarânia,Ibiá,Iraí de Minas,Lagoa formosa,Lagoa Grande,Matutina,Monte Carmelo,Patos de minas,Patrocínio,Pedrinópolis,Perdizes,Pratinha,Presidente Olegário,Rio paranaíba,Romaria,Sacramento,Santa Juliana,Santa Rosa da Serra,São Gonçal do Abaeté,São gotardo,Serra do salitre,Tapira,Tiros,Varjão de minas
Abadia do dourados,0.0,201.3,176.56666666666666,211.7,166.95,86.46666666666667,28.466666666666665,112.78333333333332,37.63333333333333,58.55,71.01666666666667,97.61666666666666,165.98333333333332,64.55,140.16666666666666,163.26666666666668,209.63333333333333,34.0,121.5,96.21666666666668,132.2,139.03333333333333,197.5,139.85,171.26666666666668,50.71666666666667,178.11666666666667,121.3,237.15,199.6,202.96666666666667,132.25,225.3,211.51666666666668,175.7
Arapuá,180.9333333333333,0.0,137.75,76.83333333333333,31.116666666666667,216.61666666666667,154.4,91.58333333333331,214.3,188.7,218.56666666666663,103.2,75.7,168.1,48.61666666666667,150.11666666666667,52.68333333333333,181.51666666666668,76.03333333333333,117.41666666666669,193.83333333333331,165.73333333333332,115.71666666666668,96.6,33.266666666666666,177.01666666666668,206.96666666666667,196.8,83.18333333333334,137.63333333333333,48.98333333333333,75.86666666666666,186.4833333333333,42.333333333333336,113.73333333333332
Araxá,176.15,138.76666666666668,0.0,89.55,128.61666666666667,189.0,149.63333333333333,87.38333333333334,195.2,161.08333333333334,190.95,123.63333333333334,64.63333333333334,130.2,142.25,214.15,142.13333333333333,153.9,123.58333333333331,93.86666666666666,64.91666666666667,51.13333333333333,75.35,160.63333333333333,108.91666666666669,137.98333333333332,73.71666666666667,67.86666666666666,119.06666666666666,201.6833333333333,122.98333333333332,65.88333333333334,53.23333333333333,160.11666666666667,177.78333333333333
Campos Altos,205.76666666666668,77.95,84.68333333333334,0.0,87.01666666666667,223.75,179.25,116.98333333333332,229.95,195.83333333333331,225.7,153.23333333333332,50.46666666666667,175.21666666666667,104.5,206.0,79.0,188.65,131.93333333333334,123.46666666666668,140.78333333333333,127.0,54.583333333333336,152.5,64.45,184.15,153.9,143.73333333333332,40.41666666666666,193.53333333333333,59.85,95.5,133.43333333333334,96.98333333333332,169.63333333333333
Carmo do paranaíba,163.76666666666668,30.9,126.08333333333331,84.93333333333334,0.0,199.45,137.25,69.16666666666667,197.13333333333333,171.55,201.4,86.03333333333333,83.8,150.93333333333334,31.45,132.95,60.78333333333333,164.36666666666667,58.88333333333333,105.76666666666668,178.36666666666667,148.56666666666666,123.81666666666666,79.45,41.36666666666667,159.86666666666667,195.3,181.31666666666663,91.28333333333332,120.48333333333332,57.083333333333336,64.13333333333334,174.81666666666666,58.11666666666667,96.58333333333331
Cascalho Rico,84.66666666666667,218.31666666666663,188.33333333333331,227.51666666666668,200.96666666666667,0.0,108.93333333333334,146.81666666666666,100.51666666666668,35.25,69.61666666666666,137.83333333333334,181.78333333333333,71.8,174.2,246.08333333333331,225.45,59.21666666666667,155.53333333333333,107.68333333333334,139.45,144.08333333333334,213.31666666666663,192.58333333333331,187.08333333333331,57.95,185.36666666666667,128.55,252.96666666666667,233.61666666666667,218.76666666666668,148.05,238.8,243.41666666666663,209.71666666666667
Coromandel,27.866666666666667,156.4,148.66666666666666,183.81666666666663,139.05,110.06666666666666,0.0,84.9,61.23333333333333,82.15,94.61666666666666,69.73333333333333,138.08333333333334,88.15,112.28333333333332,147.23333333333332,181.75,57.61666666666667,93.61666666666666,68.33333333333333,140.93333333333334,111.15,169.61666666666667,130.66666666666666,143.38333333333333,74.31666666666666,181.3,143.9,209.26666666666668,171.7,175.06666666666666,104.35,197.41666666666663,183.61666666666667,147.81666666666666
Cruzeiro da Fortaleza,115.75,92.21666666666668,86.3,121.43333333333334,70.26666666666667,151.45,89.23333333333333,0.0,149.11666666666667,123.53333333333332,153.38333333333333,51.083333333333336,75.71666666666667,102.91666666666669,72.6,144.5,100.75,116.35,53.93333333333333,57.75,130.35,100.55,107.23333333333332,90.98333333333332,62.38333333333333,111.85,155.51666666666668,133.31666666666666,128.26666666666668,132.03333333333333,94.06666666666666,24.35,135.03333333333333,118.71666666666668,108.13333333333334
Douradoquara,37.03333333333333,217.13333333333333,195.51666666666668,234.7,199.78333333333333,100.9,61.3,145.61666666666667,0.0,72.98333333333333,53.55,130.45,188.9833333333333,78.98333333333333,173.01666666666668,196.1,232.63333333333333,48.45,154.33333333333334,114.88333333333334,146.65,151.26666666666668,220.5,172.7,194.26666666666668,65.15,192.56666666666663,135.73333333333332,260.15,232.4333333333333,225.96666666666667,155.25,245.9833333333333,244.35,208.53333333333333
Estrela do Sul,56.91666666666666,190.58333333333331,160.58333333333334,199.76666666666668,173.23333333333332,35.2,81.18333333333334,119.06666666666666,67.58333333333333,0.0,35.56666666666667,110.1,154.03333333333333,44.05,146.45,218.35,197.7,31.466666666666665,127.78333333333332,79.95,111.71666666666668,116.33333333333331,185.56666666666663,164.83333333333334,159.33333333333334,30.216666666666665,157.61666666666667,100.8,225.21666666666667,205.88333333333333,191.03333333333333,120.31666666666666,211.05,215.6833333333333,181.9833333333333
Grupiara,71.55,222.65,192.66666666666663,231.83333333333331,205.3,71.16666666666667,95.81666666666666,151.13333333333333,56.06666666666667,37.53333333333333,0.0,142.16666666666666,186.11666666666667,76.11666666666666,178.51666666666668,230.61666666666667,229.76666666666668,50.16666666666666,159.85,112.01666666666668,143.78333333333333,148.4,217.65,196.91666666666663,191.41666666666663,62.28333333333333,189.7,132.86666666666667,257.3,237.95,223.1,152.38333333333333,243.11666666666667,247.75,214.05
Guimarânia,95.06666666666666,113.05,124.03333333333332,159.16666666666666,95.7,136.9,68.55,41.5,128.43333333333334,108.98333333333332,138.83333333333334,0.0,113.45,88.36666666666666,68.93333333333334,140.81666666666666,138.48333333333332,101.8,50.25,43.2,115.8,86.0,144.96666666666667,87.31666666666666,100.11666666666666,97.3,156.16666666666666,118.76666666666668,166.0,128.35,131.8,62.083333333333336,172.76666666666668,140.26666666666668,104.45
Ibiá,163.71666666666667,78.33333333333333,62.43333333333333,54.583333333333336,87.4,181.7,137.2,74.93333333333334,187.9,153.78333333333333,183.65,111.18333333333334,0.0,133.16666666666666,104.9,201.7,79.38333333333334,146.6,111.13333333333334,81.41666666666667,118.51666666666668,104.73333333333332,40.38333333333333,148.2,64.83333333333333,142.1,131.65,121.48333333333332,83.35,189.2333333333333,60.23333333333333,53.45,111.16666666666669,97.36666666666666,165.33333333333334
Iraí de Minas,62.0,168.83333333333334,130.33333333333334,178.01666666666668,151.48333333333332,71.65,86.26666666666667,97.31666666666666,77.85,43.73333333333333,73.6,88.35,132.3,0.0,124.7,196.6,175.95,36.55,106.03333333333332,58.2,81.45,94.58333333333331,163.83333333333334,143.1,137.58333333333334,25.15,127.36666666666666,70.55,203.4833333333333,184.13333333333333,169.28333333333333,98.56666666666666,180.8,193.9333333333333,160.23333333333332
Lagoa formosa,138.65,51.15,130.68333333333334,105.18333333333334,33.8,174.33333333333334,112.13333333333334,62.41666666666666,172.01666666666668,146.41666666666666,176.28333333333333,60.91666666666666,104.06666666666666,125.81666666666666,0.0,107.83333333333331,81.03333333333333,139.23333333333332,33.75,80.63333333333334,153.23333333333332,123.45,144.06666666666666,54.31666666666667,61.61666666666667,134.73333333333332,193.61666666666667,156.2,111.53333333333332,95.36666666666666,77.33333333333333,68.73333333333333,179.41666666666666,78.36666666666666,71.46666666666667
Lagoa Grande,161.96666666666667,150.3,210.1,204.31666666666663,132.93333333333334,243.46666666666667,146.66666666666666,141.85,195.33333333333331,215.55,228.71666666666667,130.05,199.51666666666668,194.9333333333333,106.16666666666669,0.0,180.16666666666663,191.71666666666667,101.93333333333334,149.76666666666668,222.36666666666667,192.58333333333331,231.05,65.93333333333334,160.75,203.86666666666667,262.7333333333333,225.33333333333331,210.66666666666663,159.8,176.48333333333332,148.15,258.85,177.5,135.9
Matutina,211.5,52.63333333333333,139.2,78.28333333333333,61.7,226.76666666666668,184.9833333333333,100.66666666666669,232.9833333333333,198.86666666666667,228.71666666666667,133.78333333333333,77.15,178.25,79.2,180.6833333333333,0.0,191.6833333333333,106.61666666666666,126.5,195.28333333333333,173.25,117.16666666666669,127.18333333333334,42.35,187.1833333333333,208.41666666666663,198.25,65.8,168.21666666666667,23.916666666666668,84.95,187.9333333333333,25.78333333333333,144.31666666666666
Monte Carmelo,32.75,184.3,154.31666666666666,193.4833333333333,166.95,59.68333333333333,57.016666666666666,112.78333333333332,48.6,31.766666666666666,48.36666666666667,103.81666666666666,147.76666666666668,37.766666666666666,140.16666666666666,191.81666666666663,191.41666666666663,0.0,121.5,73.66666666666667,105.43333333333334,110.05,179.3,158.56666666666666,153.06666666666666,23.933333333333334,151.35,94.51666666666668,218.95,199.6,184.75,114.03333333333332,204.76666666666668,209.4,175.7
Patos de minas,120.28333333333332,77.23333333333333,122.61666666666666,131.26666666666668,59.88333333333333,155.98333333333332,93.76666666666668,54.36666666666667,153.65,128.06666666666666,157.91666666666666,42.56666666666667,112.03333333333332,107.45,33.1,103.11666666666666,107.11666666666666,120.88333333333334,0.0,62.28333333333333,134.88333333333333,105.08333333333331,143.56666666666666,49.61666666666667,87.68333333333334,116.38333333333334,175.25,137.85,137.61666666666667,93.01666666666668,103.41666666666669,60.66666666666666,171.36666666666667,104.45,69.13333333333334
Patrocínio,94.31666666666666,116.35,91.8,126.93333333333334,106.65,107.33333333333331,67.8,52.5,113.53333333333332,79.41666666666667,109.28333333333332,43.516666666666666,81.21666666666667,58.81666666666667,79.88333333333334,151.78333333333333,124.86666666666666,72.23333333333333,61.21666666666667,0.0,80.05,50.25,112.73333333333332,98.26666666666668,86.5,67.73333333333333,120.41666666666669,83.0,152.38333333333333,139.3,118.2,47.48333333333333,140.53333333333333,142.85,115.41666666666669
Pedrinópolis,129.55,196.56666666666663,65.53333333333333,147.36666666666667,181.4333333333333,139.2,142.58333333333334,127.28333333333332,145.4,111.28333333333332,141.13333333333333,118.3,122.43333333333334,80.38333333333334,154.66666666666666,226.56666666666663,199.95,104.1,136.0,82.3,0.0,32.983333333333334,133.16666666666666,173.05,166.73333333333332,88.16666666666667,86.15,18.066666666666663,176.86666666666667,214.08333333333331,180.8,123.7,116.0,217.91666666666663,190.2
Perdizes,134.85,164.4,51.13333333333333,132.96666666666667,149.71666666666667,144.5,110.85,95.55,150.7,116.58333333333331,146.43333333333334,86.58333333333333,108.05,96.66666666666669,122.93333333333334,194.83333333333331,172.91666666666666,109.4,104.26666666666668,50.583333333333336,31.383333333333333,0.0,118.76666666666668,141.31666666666666,134.55,104.46666666666668,71.75,34.35,162.48333333333332,182.36666666666667,166.4,95.53333333333332,101.6,190.9,158.46666666666667
Pratinha,192.6,113.75,71.51666666666667,54.11666666666667,122.81666666666666,210.58333333333331,166.08333333333334,103.81666666666666,216.78333333333333,182.66666666666663,212.53333333333333,140.06666666666666,37.3,162.05,140.31666666666666,230.58333333333331,114.8,175.48333333333332,140.01666666666668,110.3,127.61666666666666,113.83333333333331,0.0,177.08333333333334,100.26666666666668,170.98333333333332,140.73333333333332,130.56666666666666,83.63333333333334,218.11666666666667,95.65,82.33333333333333,120.26666666666668,132.78333333333333,194.21666666666667
Presidente Olegário,140.43333333333334,97.81666666666666,157.63333333333333,151.85,80.46666666666667,190.9833333333333,128.76666666666668,89.36666666666666,173.8,163.06666666666666,192.9333333333333,77.56666666666666,147.03333333333333,142.45,53.68333333333333,66.48333333333333,127.68333333333334,155.88333333333333,49.45,97.28333333333332,169.88333333333333,140.1,178.56666666666666,0.0,108.26666666666668,151.38333333333333,210.25,172.85,158.18333333333334,107.31666666666666,124.0,95.68333333333334,206.36666666666667,125.03333333333332,83.41666666666667
Rio paranaíba,169.05,32.96666666666667,107.16666666666669,62.65,42.03333333333333,187.03333333333333,142.53333333333333,60.93333333333333,193.2333333333333,159.11666666666667,188.9833333333333,97.18333333333334,61.53333333333333,138.51666666666668,59.53333333333333,161.01666666666668,41.48333333333333,151.95,86.95,86.76666666666667,163.25,133.51666666666668,101.53333333333332,107.51666666666668,0.0,147.43333333333334,176.38333333333333,166.21666666666667,69.0,148.55,34.81666666666667,45.21666666666667,155.9,59.46666666666667,124.65
Romaria,48.36666666666667,178.5,136.88333333333333,187.6833333333333,161.15,58.016666666666666,72.63333333333334,106.98333333333332,64.21666666666667,30.1,59.96666666666667,98.01666666666668,141.96666666666667,24.85,134.36666666666667,206.26666666666668,185.61666666666667,22.916666666666668,115.7,67.86666666666666,88.01666666666667,104.33333333333331,173.48333333333332,152.75,147.25,0.0,133.91666666666666,77.1,213.13333333333333,193.8,178.95,108.23333333333332,187.35,203.6,169.9
Sacramento,179.05,208.3,76.38333333333334,159.08333333333334,198.15,188.7,184.3,156.91666666666666,194.9,160.78333333333333,190.65,160.01666666666668,134.16666666666666,129.9,196.36666666666667,268.26666666666665,211.66666666666663,153.6,177.7,124.01666666666668,88.46666666666667,74.68333333333334,144.9,214.75,178.45,137.68333333333334,0.0,83.11666666666666,188.6,255.8,192.51666666666668,135.43333333333334,90.16666666666669,229.65,231.9
Santa Juliana,119.31666666666666,198.3,67.26666666666667,149.1,183.16666666666663,128.96666666666667,144.31666666666666,129.01666666666668,135.16666666666666,101.05,130.9,120.03333333333332,124.18333333333334,70.15,156.4,228.3,201.6833333333333,93.86666666666666,137.73333333333332,84.03333333333333,18.4,34.71666666666667,134.9,174.78333333333333,168.46666666666667,77.93333333333334,79.5,0.0,178.61666666666667,215.83333333333331,182.53333333333333,125.43333333333334,117.73333333333332,219.66666666666663,191.9333333333333
Santa Rosa da Serra,235.31666666666663,82.9,114.23333333333332,40.11666666666667,91.96666666666668,253.3,208.8,127.71666666666668,259.5,225.38333333333333,255.25,164.03333333333333,80.01666666666667,204.76666666666668,109.45,210.95,65.83333333333333,218.2,136.88333333333333,153.01666666666668,170.31666666666666,156.55,84.13333333333334,157.45,69.4,213.7,183.45,173.28333333333333,0.0,198.4833333333333,64.8,112.0,162.96666666666667,83.81666666666666,174.58333333333334
São Gonçal do Abaeté,195.35,137.86666666666667,197.6833333333333,191.9,120.51666666666668,231.03333333333333,168.83333333333334,129.41666666666666,228.71666666666667,203.11666666666667,232.9833333333333,117.61666666666666,187.1,182.51666666666668,93.73333333333332,157.83333333333334,167.75,195.9333333333333,91.26666666666668,137.33333333333334,209.9333333333333,180.15,218.61666666666667,104.33333333333331,148.31666666666666,191.4333333333333,250.3,212.9,198.25,0.0,164.05,135.73333333333332,246.41666666666663,165.08333333333334,29.016666666666666
São gotardo,201.13333333333333,48.18333333333333,119.53333333333332,58.61666666666667,57.25,219.11666666666667,174.61666666666667,93.0,225.31666666666663,191.2,221.06666666666663,129.33333333333334,57.48333333333333,170.6,74.75,176.23333333333332,23.48333333333333,184.01666666666668,102.16666666666669,118.83333333333331,175.61666666666667,161.83333333333334,97.48333333333332,122.73333333333332,34.68333333333333,179.51666666666668,188.75,178.58333333333334,59.18333333333333,163.76666666666668,0.0,77.3,168.26666666666668,41.46666666666667,139.86666666666667
Serra do salitre,130.31666666666666,76.36666666666666,64.78333333333333,99.91666666666669,66.21666666666667,148.3,103.8,24.98333333333333,154.5,120.38333333333334,150.25,61.23333333333333,54.2,99.76666666666668,79.86666666666666,151.75,84.88333333333334,113.2,61.18333333333333,48.016666666666666,120.86666666666666,94.76666666666668,85.71666666666667,98.25,46.53333333333333,108.7,133.98333333333332,123.83333333333331,112.41666666666669,139.28333333333333,78.21666666666667,0.0,113.51666666666668,102.86666666666666,115.38333333333334
Tapira,221.26666666666668,183.86666666666667,51.96666666666667,134.66666666666666,173.71666666666667,238.03333333333333,194.75,132.48333333333332,244.2333333333333,210.11666666666667,239.96666666666667,168.73333333333332,109.73333333333332,179.21666666666667,187.36666666666667,259.25,187.25,202.9333333333333,168.68333333333334,138.96666666666667,113.93333333333334,100.15,120.46666666666668,205.75,154.03333333333333,187.0,86.26666666666667,116.9,164.16666666666666,246.78333333333333,168.1,111.0,0.0,205.21666666666667,222.88333333333333
Tiros,207.78333333333333,41.91666666666666,157.45,96.53333333333332,57.98333333333333,243.46666666666667,181.26666666666668,118.43333333333334,241.15,215.56666666666663,245.41666666666663,130.05,95.41666666666669,194.95,75.46666666666667,176.96666666666667,26.35,208.38333333333333,102.9,144.26666666666668,213.55,192.58333333333331,135.41666666666666,123.46666666666668,60.11666666666667,203.88333333333333,226.66666666666663,216.5,84.06666666666666,164.5,42.16666666666666,102.71666666666668,206.2,0.0,140.6
Varjão de minas,173.21666666666667,115.73333333333332,175.55,169.76666666666668,98.38333333333334,208.9,146.7,107.28333333333332,206.58333333333331,180.9833333333333,210.85,95.48333333333332,164.96666666666667,160.38333333333333,71.6,135.71666666666667,145.61666666666667,173.8,69.13333333333334,115.2,187.81666666666663,158.01666666666668,196.5,82.2,126.18333333333334,169.3,228.1833333333333,190.76666666666668,176.11666666666667,29.78333333333333,141.91666666666666,113.6,224.28333333333333,142.95,0.0
